SYMBOL,COUNT
20MICRONS,1
21STCENMGM,1
3IINFOTECH,1
3MINDIA,1
5PAISA,1
63MOONS,1
8KMILES,1
A2ZINFRA,1
AARTIDRUGS,1
AARTIIND,1
AARVEEDEN,1
AAVAS,1
ABAN,2
ABB,2
ABBOTINDIA,1
ABCAPITAL,1
ABFRL,1
ABSLNN50ET,1
ACC,2
ACCELYA,1
ACE,2
ADANIENT,1
ADANIGAS,1
ADANIGREEN,1
ADANIPORTS,1
ADANIPOWER,1
ADANITRANS,1
ADFFOODS,1
ADHUNIK,2
ADHUNIKIND,1
ADLABS,2
ADORWELD,1
ADROITINFO,1
ADSL,1
ADVANIHOTR,1
ADVENZYMES,1
AEGISCHEM,1
AGARIND,1
AGCNET,1
AGLSL,1
AGRITECH,2
AHLEAST,1
AHLUCONT,1
AHLWEST,1
AIAENG,1
AIONJSW,1
AIRAN,1
AJANTPHARM,1
AJMERA,1
AKSHARCHEM,1
AKSHOPTFBR,1
AKZOINDIA,1
ALANKIT,1
ALBERTDAVD,1
ALBK,2
ALEMBICLTD,1
ALICON,1
ALKALI,2
ALKEM,1
ALKYLAMINE,1
ALLCARGO,1
ALLSEC,1
ALMONDZ,1
ALOKTEXT,1
ALPA,2
ALPHAGEO,1
AMARAJABAT,1
AMBER,1
AMBIKCO,1
AMBUJACEM,1
AMDIND,1
AMJLAND,1
AMRUTANJAN,1
ANANTRAJ,1
ANDHRABANK,1
ANDHRACEMT,1
ANDHRSUGAR,1
ANIKINDS,1
ANSALAPI,1
ANSALHSG,1
ANUP,1
APARINDS,1
APCL,1
APCOTEXIND,1
APEX,2
APLAPOLLO,1
APLLTD,1
APOLLO,2
APOLLOHOSP,1
APOLLOTYRE,1
APOLSINHOT,1
APTECHT,1
ARCHIDPLY,1
ARCHIES,2
ARCOTECH,1
ARIES,1
ARIHANT,2
ARIHANTSUP,1
ARMANFIN,1
AROGRANITE,1
ARROWTEX,1
ARSHIYA,1
ARSSINFRA,1
ARVIND,2
ARVINDFASN,1
ARVSMART,1
ASAHIINDIA,1
ASAHISONG,1
ASAL,2
ASHAPURMIN,1
ASHIANA,1
ASHIMASYN,1
ASHOKA,2
ASHOKLEY,1
ASIANHOTNR,1
ASIANPAINT,1
ASIANTILES,1
ASPINWALL,1
ASTEC,2
ASTERDM,1
ASTRAL,1
ASTRAMICRO,1
